name,N,sd size,depth,attractors,motif-avoidant-attractors,minimal trapspaces
093.bnet,66,1,0,1,0,1
094.bnet,31,1,0,1,0,1
095.bnet,10,4,2,1,0,1
096.bnet,20,1,0,1,0,1
097.bnet,10,1,0,1,0,1
098.bnet,42,1,0,1,0,1
099.bnet,19,6,2,3,0,3
100.bnet,21,1,0,1,0,1
101.bnet,85,8,3,1,0,1
102.bnet,22,2,1,1,0,1
103.bnet,69,6,2,2,0,2
104.bnet,14,3,2,1,0,1
105.bnet,49,16,4,1,0,1
106.bnet,80,8,3,1,0,1
107.bnet,33,9,3,3,0,3
108.bnet,25,5,2,2,0,2
109.bnet,5,2,1,1,0,1
110.bnet,9,3,1,2,0,2
111.bnet,33,1,0,1,0,1
112.bnet,112,3,1,2,0,2
113.bnet,182,2268,,120,0,120
114.bnet,84,378,6,40,0,40
115.bnet,35,1,0,1,0,1
116.bnet,144,18,3,6,0,6
117.bnet,47,3,1,2,0,2
118.bnet,121,3,1,2,0,2
119.bnet,19,1,0,1,0,1
120.bnet,150,3,1,2,0,2
121.bnet,57,42,4,10,0,10
122.bnet,,,,,,
123.bnet,60,27,3,8,0,8
124.bnet,252,3,1,2,0,2
125.bnet,51,3,1,2,0,2
126.bnet,42,162,5,24,0,24
127.bnet,79,1,0,1,0,1
128.bnet,90,3,1,2,0,2
129.bnet,34,1,0,1,0,1
130.bnet,77,1,0,1,0,1
131.bnet,21,1,0,1,0,1
132.bnet,148,3,1,2,0,2
133.bnet,10,9,2,4,0,4
134.bnet,38,1,0,1,0,1
135.bnet,30,1,0,1,0,1
136.bnet,28,2,1,1,0,1
137.bnet,82,1,0,1,0,1
138.bnet,31,1,0,1,0,1
139.bnet,19,3,1,2,0,2
140.bnet,80,9,2,4,0,4
141.bnet,45,1,0,1,0,1
142.bnet,29,18,3,6,0,6
143.bnet,97,5832,9,216,0,216
144.bnet,,,,,,
145.bnet,62,1,0,1,0,1
146.bnet,50,93,7,7,0,7
147.bnet,16,2,1,1,0,1
148.bnet,83,2,1,1,0,1
149.bnet,14,1,0,1,0,1
150.bnet,33,12,3,5,0,5
151.bnet,133,4,2,2,0,2
152.bnet,53,4,2,2,0,2
153.bnet,18,2,1,1,0,1
154.bnet,21,3,1,2,0,2
155.bnet,71,9,2,4,0,4
156.bnet,36,9,2,4,0,4
157.bnet,103,1,0,1,0,1
158.bnet,7,3,1,2,0,2
159.bnet,39,57,6,7,0,7
160.bnet,92,93,6,18,0,18
161.bnet,96,1,0,1,0,1
162.bnet,18,3,1,2,0,2
163.bnet,34,3,1,2,0,2
164.bnet,24,162,5,24,0,24
165.bnet,8,3,1,2,0,2
166.bnet,19,1,0,1,0,1
167.bnet,57,9,2,4,0,4
168.bnet,13,1,0,1,0,1
169.bnet,7,1,0,1,0,1
170.bnet,7,1,0,1,0,1
171.bnet,7,4,2,2,0,2
172.bnet,7,9,2,4,0,4
173.bnet,76,3,1,2,0,2
174.bnet,19,54,4,13,0,13
175.bnet,41,77,5,15,0,15
176.bnet,49,1,0,1,0,1
177.bnet,34,3,1,2,0,2
178.bnet,48,3,1,2,0,2
179.bnet,56,1,0,1,0,1
180.bnet,12,3,1,2,0,2
181.bnet,13,1,0,1,0,1
182.bnet,14,3,2,1,0,1
183.bnet,35,6,2,2,0,2
184.bnet,6,3,2,1,0,1
185.bnet,15,7,2,3,0,3
186.bnet,10,6,2,3,0,3
187.bnet,19,6,2,3,0,3
188.bnet,37,36,4,9,0,9
189.bnet,6,3,1,2,0,2
190.bnet,37,1,0,1,0,1
191.bnet,19,3,1,2,0,2
192.bnet,102,192,5,65,0,65
193.bnet,30,9,2,4,0,4
194.bnet,106,6,2,3,0,3
195.bnet,216,783,8,48,0,48
196.bnet,61,9,3,4,0,4
197.bnet,56,660,7,16,0,16
198.bnet,11,7,3,4,0,4
199.bnet,30,20,3,7,0,7
200.bnet,26,4,2,2,0,2
201.bnet,33,4,2,2,0,2
202.bnet,31,5,3,2,0,2
203.bnet,40,7,2,3,0,3
204.bnet,77,2,1,1,0,1
205.bnet,45,1,0,1,0,1
206.bnet,41,3,1,2,0,2
207.bnet,103,18,3,4,0,4
208.bnet,15,14,4,5,0,5
209.bnet,87,2,1,1,0,1
210.bnet,144,2,1,1,0,1
211.bnet,183,3,2,1,0,1
212.bnet,16,2,1,1,0,1
